[(33569.954545454544, 2672.6154255325146)]
[(35431.227272727272, 2931.6042616692457)]
[(20709.590909090908, 1959.5051038807089)]
[(15870.954545454546, 1539.180121573535)]
[(11074.636363636364, 1122.9729995727539)]
[(23762.31818181818, 2261.0130127885127)]
[(17903.0, 1556.7982115312057)]
[(24937.363636363636, 1857.7410939823496)]
[(40155.454545454544, 3286.7438310493121)]
[(29522.5, 2579.008309624412)]
[(14044.363636363636, 1396.9992219968276)]
[(29620.0, 2200.4284144206481)]
[(30039.909090909092, 2107.4273060018368)]
[(26005.409090909092, 2014.0436384244399)]
[(12202.818181818182, 1177.3533418937163)]
[(13963.5, 1441.3414492390373)]
[(26744.18181818182, 2268.9745180823588)]
[(30452.454545454544, 2554.1143569512801)]
[(23530.545454545456, 2086.1135976964779)]
[(13355.136363636364, 1401.8726841536436)]
[(46066.090909090912, 3509.0406435836444)]
[(59771.36363636364, 3555.7468868168917)]
[(28888.0, 2393.4094119505448)]
[(32441.68181818182, 2836.9135362993588)]
[(20830.68181818182, 1857.1537397991526)]
[(29896.31818181818, 2767.4324989318848)]
[(15440.5, 1484.7846410166133)]
[(33459.63636363636, 2186.6464003324509)]
[(27042.136363636364, 2173.9317795146594)]
[(31108.409090909092, 2525.976006128571)]
[(25631.272727272728, 2323.370917244391)]
[(38912.318181818184, 2988.2218923243609)]
[(27923.68181818182, 2104.6559167991986)]
[(32179.0, 2292.0950545289302)]
[(18898.090909090908, 1912.2005324146965)]
[(18456.636363636364, 1660.3772678050127)]
[(42960.545454545456, 3187.01350255446)]
[(59167.63636363636, 3939.6363261396236)]
[(33185.545454545456, 2968.8486598188229)]
[(24341.454545454544, 2204.8254626989365)]
[(21422.31818181818, 1828.0149296738884)]
[(59041.454545454544, 4196.0154803666201)]
[(41754.63636363636, 3362.3565687266264)]
[(23991.545454545456, 2157.5854982246051)]
[(27414.954545454544, 2246.4549063335767)]
[(29915.545454545456, 2419.426767024127)]
[(56298.409090909088, 4056.6806324286895)]
[(37446.090909090912, 2536.650025541132)]
[(26527.727272727272, 2453.4601789387789)]
[(18613.863636363636, 1804.9050977880304)]
[(27650.0, 2287.173691337759)]
[(14155.40909090909, 1325.2389966574583)]
[(20389.68181818182, 1854.0893226211722)]
[(18012.590909090908, 1708.2571906609969)]
[(41719.5, 3164.3416999795222)]
[(42856.909090909088, 2867.3918975266542)]
[(45596.909090909088, 3823.0962238745255)]
[(30460.954545454544, 2098.1356559341602)]
[(37079.454545454544, 2793.2241888371382)]
[(22935.545454545456, 2171.9580019387331)]
[(19652.81818181818, 1723.0071707422082)]
[(36381.86363636364, 3164.3706782189283)]
[(39860.86363636364, 2951.0418316776104)]
[(14666.772727272728, 1438.0573682893407)]
[(25415.363636363636, 2280.7142529054122)]
[(28612.18181818182, 2616.9824668277392)]
[(32661.590909090908, 2616.9768450585279)]
[(32325.81818181818, 2676.3273702101274)]
[(29757.772727272728, 2475.7995402271099)]
[(41971.090909090912, 3656.3431083505802)]
[(26942.0, 2462.3610516136341)]
[(23369.090909090908, 1946.4239807454023)]
