[(23552.136363636364, 1260.3595331040297)]
[(30565.363636363636, 1529.7384975173256)]
[(30857.409090909092, 1426.2646496404302)]
[(36222.181818181816, 2080.4678277319126)]
[(26206.409090909092, 1486.2977920662272)]
[(57510.272727272728, 2440.733824816617)]
[(18691.954545454544, 1279.6628063375299)]
[(17354.136363636364, 979.68826950680125)]
[(51161.045454545456, 2604.9617068225689)]
[(22399.545454545456, 1327.4413053555922)]
[(24461.81818181818, 1624.0914293202486)]
[(16761.727272727272, 954.67202285203064)]
[(20396.772727272728, 1144.082831458612)]
[(25902.045454545456, 1660.2934685295279)]
[(18780.090909090908, 998.95121082392609)]
[(29564.636363636364, 1505.480069550601)]
[(24509.454545454544, 1290.1373830058358)]
[(33107.409090909088, 1815.1241124434905)]
[(29949.0, 1482.7001926248724)]
[(16602.409090909092, 1000.2519977309487)]
[(29403.045454545456, 1648.3719155246561)]
[(48677.13636363636, 2634.2554635893216)]
[(46359.909090909088, 2328.7583693807774)]
[(20924.68181818182, 1319.6004161834717)]
[(26493.636363636364, 1517.4728800600226)]
[(37827.454545454544, 1857.5432189594615)]
[(18479.409090909092, 964.42024539817464)]
[(46553.681818181816, 2432.9519208669662)]
[(24945.772727272728, 1300.1055388125505)]
[(19717.727272727272, 1076.3462320782921)]
[(27639.136363636364, 1136.4848523898559)]
[(20523.272727272728, 1104.6940810897133)]
[(23282.31818181818, 1272.3733731074767)]
[(32325.363636363636, 1263.5153186754746)]
[(26706.18181818182, 982.95786133679474)]
[(36841.227272727272, 2220.8009181347761)]
[(23432.5, 1432.3028748577292)]
[(37466.318181818184, 1319.816295396198)]
[(33074.681818181816, 1905.7306589104912)]
[(25036.636363636364, 1096.1410574262793)]
[(20089.31818181818, 1247.5068309523842)]
[(17325.772727272728, 870.66980601440775)]
[(30318.090909090908, 2117.7020602984862)]
[(25935.454545454544, 1457.2318071668799)]
[(12731.227272727272, 793.61101060563863)]
[(34360.681818181816, 1613.5648975697432)]
[(32632.272727272728, 2002.4201961864126)]
[(26379.136363636364, 1410.3791050152345)]
[(25809.136363636364, 1517.7964539961381)]
[(23750.68181818182, 1228.9805686907334)]
[(43557.590909090912, 2210.3657547777348)]
[(35263.13636363636, 1619.9351844462481)]
[(28263.590909090908, 1690.6624571735208)]
[(24819.136363636364, 1462.9718114787881)]
[(28140.227272727272, 1484.2833029465241)]
[(22824.363636363636, 1288.9034199281173)]
[(33899.954545454544, 1942.2796285260808)]
[(29157.772727272728, 1240.8942830887709)]
[(26332.18181818182, 1564.8543307997963)]
[(26506.363636363636, 2154.0565598227763)]
[(15771.863636363636, 987.02273781733084)]
[(27386.545454545456, 1347.0959426706488)]
[(19763.0, 1244.9787314805117)]
[(33452.545454545456, 1887.2936583432283)]
[(28175.590909090908, 1603.8617101040754)]
[(44865.818181818184, 2287.5471136569977)]
[(24284.590909090908, 1399.7432006814263)]
[(21445.31818181818, 985.54364779862487)]
[(22749.545454545456, 1405.5743038979444)]
[(21498.045454545456, 1390.8410297740591)]
[(34150.272727272728, 1632.0624510808425)]
[(29148.727272727272, 1689.5160779302771)]
[(26739.81818181818, 1629.7955353910272)]
[(23033.272727272728, 1437.7554729635065)]
[(45094.909090909088, 1819.5053733695638)]
[(51799.818181818184, 2652.5978009700775)]
[(27906.136363636364, 1322.555840405551)]
[(32579.409090909092, 1874.4583112651651)]
[(32122.227272727272, 1883.7615844986656)]
[(36701.181818181816, 2614.4795610362835)]
[(37400.63636363636, 2007.2370000969279)]
[(25416.409090909092, 1403.9196665828879)]
[(27008.409090909092, 1662.3901892033491)]
[(18663.545454545456, 1102.8063196268949)]
[(26969.772727272728, 1518.7638810114427)]
[(25065.909090909092, 1509.7879662730477)]
[(46247.0, 2281.159851334312)]
[(33241.727272727272, 2043.7036280198531)]
[(29231.045454545456, 1721.7435803088274)]
[(46450.727272727272, 2220.3074186715212)]
[(27286.0, 1446.0535837303507)]
[(12498.272727272728, 817.70902951197195)]
[(18320.863636363636, 861.87884490056467)]
[(25755.045454545456, 1314.3434762629595)]
[(29184.31818181818, 1633.548840728673)]
[(36558.13636363636, 2106.5522761236539)]
[(16962.0, 1133.9520497538826)]
[(27683.363636363636, 1528.1645240350203)]
[(31058.045454545456, 1491.3055509979074)]
[(23850.909090909092, 1438.8904985297811)]
[(31142.090909090908, 1925.166661197489)]
[(28237.090909090908, 1328.3708867809989)]
[(46354.272727272728, 2218.1839365959167)]
[(47074.63636363636, 2702.9579222635789)]
[(50433.227272727272, 2368.4492845643649)]
[(16004.181818181818, 810.04839080030263)]
[(30853.5, 1442.386674133214)]
[(32720.636363636364, 1631.0985391356728)]
[(37999.227272727272, 1662.7333350506697)]
[(23431.636363636364, 1194.4137050238523)]
[(21887.727272727272, 1163.9413451931694)]
[(36407.818181818184, 1865.4843438755381)]
[(21639.136363636364, 1086.6109309304845)]
[(14136.0, 899.08512797138906)]
[(26364.727272727272, 1473.8664132681761)]
[(18906.31818181818, 1134.701380718838)]
[(28602.18181818182, 1456.1257598400116)]
[(19714.590909090908, 1143.8880918784575)]
[(21324.81818181818, 1402.6355856331911)]
[(33040.86363636364, 1818.1085149049759)]
[(36304.454545454544, 2013.4638533592224)]
[(33773.909090909088, 1716.2121555805206)]
[(27344.909090909092, 1638.2745457345789)]
[(32995.045454545456, 1551.9241002581336)]
[(15976.454545454546, 879.12232444503093)]
[(36013.272727272728, 2353.3844877589831)]
[(21662.272727272728, 1309.3861046921122)]
[(29824.909090909092, 1658.7059245326302)]
[(28168.454545454544, 1668.5553014278412)]
[(36813.545454545456, 1761.603392275897)]
[(17999.954545454544, 1001.3961601365696)]
[(17628.136363636364, 960.00778939507222)]
[(53733.36363636364, 2911.5661465904927)]
[(41428.090909090912, 2415.5978806452317)]
[(30167.636363636364, 1370.1074861613188)]
[(27336.954545454544, 1386.7102480693297)]
[(42635.545454545456, 2205.2688442902131)]
